"Games","Athletes","Gold","Silver","Bronze","Total","Gold medal","Total medal","Host_nation","Year","GDPA","CPIAUCNS_annual","UMCSENT_Q3","log_CPI","log_Medals","diff_log_CPI","diff_sentiment","diff_log_Medals"
"1952 Helsinki",286,40,19,17,76,1,1,0,1952,367.341,26.55,NA,3.27902974768795,4.33073334028633,0.0992413115277939,NA,-0.100083458556982
"1956 Melbourne",297,32,25,17,74,2,2,0,1956,449.353,27.1833333333333,99.9,3.30260404039891,4.30406509320417,0.0235742927109652,NA,-0.0266682470821609
"1960 Rome",292,34,21,16,71,2,2,0,1960,542.382,29.575,97.2,3.38692940986445,4.26267987704132,0.084325369465537,-2.7,-0.0413852161628547
"1964 Tokyo",346,36,26,28,90,1,2,0,1964,684.46,31.0166666666667,100.6,3.43452469442015,4.49980967033027,0.0475952845556997,3.39999999999999,0.23712979328895
"1968 Mexico City",357,45,28,34,107,1,1,0,1968,940.651,34.7833333333333,92.4,3.5491383448551,4.67282883446191,0.11461365043495,-8.19999999999999,0.173019164131641
"1972 Munich",400,33,31,30,94,2,2,0,1972,1279.11,41.8166666666667,95.2,3.73329498414432,4.54329478227,0.184156639289221,2.8,-0.129534052191902
"1976 Montreal",396,34,35,25,94,3,2,0,1976,1873.412,56.9083333333333,89.7,4.04144178617904,4.54329478227,0.308146802034722,-5.5,0
"1984 Los Angeles",522,83,61,30,174,1,1,1,1984,4037.613,103.883333333333,98.8666666666667,4.64326847458675,5.15905529921453,0.300913344203853,4.58333333333333,0.307880258472263
"1988 Seoul",527,36,31,27,94,3,3,0,1988,5236.438,118.258333333333,96.0333333333333,4.77287149705249,4.54329478227,0.129603022465742,-2.83333333333333,-0.615760516944525
"1992 Barcelona",545,37,34,37,108,2,2,0,1992,6520.327,140.316666666667,76.1,4.94390177311556,4.68213122712422,0.171030276063072,-19.9333333333333,0.138836444854216
"1996 Atlanta",646,44,32,25,101,1,1,1,1996,8073.122,156.85,94.9,5.05528993463669,4.61512051684126,0.111388161521124,18.8,-0.0670107102829602
"2000 Sydney",586,37,24,32,93,1,1,0,2000,10250.952,172.2,107.466666666667,5.14865659199363,4.53259949315326,0.0933666573569427,12.5666666666667,-0.0825210236880034
"2004 Athens",533,36,39,26,101,1,1,0,2004,12217.196,188.883333333333,95.6,5.24112954051085,4.61512051684126,0.0924729485172175,-11.8666666666667,0.0825210236880034
"2008 Beijing",588,36,39,37,112,2,1,0,2008,14769.862,215.3025,64.8333333333333,5.3720440160075,4.71849887129509,0.130914475496652,-30.7666666666667,0.103378354453834
"2012 London",530,48,26,31,105,1,1,0,2012,16253.97,229.593916666667,74.9666666666667,5.43631216874016,4.65396035015752,0.0642681527326641,10.1333333333333,-0.0645385211375711
"2016 Rio de Janeiro",554,46,37,38,121,1,1,0,2016,18804.913,240.007166666667,90.3333333333333,5.48066878400727,4.79579054559674,0.0443566152671044,15.3666666666667,0.141830195439218
"2020 Tokyo",615,39,41,33,113,1,1,0,2020,21375.281,258.811166666667,75.6666666666667,5.55609870955783,4.72738781871234,0.0754299255505613,-14.6666666666667,-0.0684027268844005
"2024 Paris",592,40,44,42,126,1,1,0,2024,29298.013,313.688833333333,68.1333333333333,5.74840151792083,4.83628190695148,0.192302808363,-7.53333333333333,0.108894088239137
